"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)"," 2.498424e-01","6.006289e-03"," 41.596800031","< 0.001"
"PitIDK4","-1.179819e-01","7.332558e-03","-16.090141803","< 0.001"
"PitIDM8","-1.180763e-01","7.137387e-03","-16.543348164","< 0.001"
"PitIDMutum"," 4.270579e-02","6.302738e-03","  6.775752323","< 0.001"
"MonthFeb"," 2.076563e-02","5.927849e-03","  3.503063480","< 0.001"
"MonthJan"," 1.768398e-05","6.143798e-03","  0.002878346","0.998"
"MonthNov","-1.722594e-04","9.231074e-03"," -0.018660816","0.985"
"sampledepth"," 7.381373e-05","8.480222e-06","  8.704220879","< 0.001"
