"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","  9665.0312","5428.7118"," 1.7803545","0.082"
"meandegC","   203.3517"," 242.4184"," 0.8388461","0.406"
"meanVW","-21383.7003","5714.0943","-3.7422729","< 0.001"
"Month.L","  3041.2511"," 660.5559"," 4.6040783","< 0.001"
"Month.Q"," -6101.0967"," 697.3367","-8.7491402","< 0.001"
