"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","-1.4054957985","0.4758847426","-2.9534374","< 0.01"
"meandegC"," 0.0391188772","0.0218362960"," 1.7914612","0.08"
"meanVW","-1.1892081679","0.5254565960","-2.2631901","0.029"
"Month.L"," 0.1086061568","0.0568612439"," 1.9100208","0.063"
"Month.Q","-0.0779483592","0.0603912421","-1.2907229","0.204"
"sampledepth","-0.0001064235","0.0002369019","-0.4492303","0.656"
